[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/trigger/pull to /user/hand/left/input/trigger/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/trigger/click to /user/hand/right/input/trigger/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/trigger/pull to /user/hand/right/input/trigger/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/joystick/click to /user/hand/left/input/thumbstick/click for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/joystick to /user/hand/left/input/thumbstick for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/joystick/touch to /user/hand/left/input/thumbstick/touch for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/joystick/click to /user/hand/right/input/thumbstick/click for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/joystick to /user/hand/right/input/thumbstick for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/joystick/touch to /user/hand/right/input/thumbstick/touch for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/grip/click to /user/hand/left/input/squeeze/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/grip/click to /user/hand/right/input/squeeze/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/y/click to /user/hand/right/input/y/click for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] LoadBindingsSet:839	- WARNING: Built invalid input path /user/hand/right/input/y/click for profile /interaction_profiles/oculus/touch_controller from action /actions/generic/in/actionmenu, skipping
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/trigger/click to /user/hand/left/input/trigger/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/trigger/pull to /user/hand/left/input/trigger/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/trigger/click to /user/hand/right/input/trigger/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/trigger/pull to /user/hand/right/input/trigger/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/joystick/click to /user/hand/left/input/thumbstick/click for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/joystick to /user/hand/left/input/thumbstick for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/joystick/touch to /user/hand/left/input/thumbstick/touch for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/joystick/click to /user/hand/right/input/thumbstick/click for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/joystick to /user/hand/right/input/thumbstick for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/joystick/touch to /user/hand/right/input/thumbstick/touch for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/grip/pull to /user/hand/left/input/squeeze/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/grip/pull to /user/hand/right/input/squeeze/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/grip/click to /user/hand/left/input/squeeze/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/grip/click to /user/hand/right/input/squeeze/value for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/x/click to /user/hand/right/input/x/click for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] LoadBindingsSet:839	- WARNING: Built invalid input path /user/hand/right/input/x/click for profile /interaction_profiles/oculus/touch_controller from action /actions/oculustouch/in/button_xa, skipping
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/x/touch to /user/hand/right/input/x/touch for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.692] LoadBindingsSet:839	- WARNING: Built invalid input path /user/hand/right/input/x/touch for profile /interaction_profiles/oculus/touch_controller from action /actions/oculustouch/in/button_xa_touch, skipping
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/right/input/y/click to /user/hand/right/input/y/click for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.692] LoadBindingsSet:839	- WARNING: Built invalid input path /user/hand/right/input/y/click for profile /interaction_profiles/oculus/touch_controller from action /actions/oculustouch/in/button_yb, skipping
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/right/input/y/touch to /user/hand/right/input/y/touch for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.692] LoadBindingsSet:839	- WARNING: Built invalid input path /user/hand/right/input/y/touch for profile /interaction_profiles/oculus/touch_controller from action /actions/oculustouch/in/button_yb_touch, skipping
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/left/input/system/click to /user/hand/left/input/system/click for profile /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.692] LoadBindingsSet:839	- WARNING: Built invalid input path /user/hand/left/input/system/click for profile /interaction_profiles/oculus/touch_controller from action /actions/oculustouch/in/start, skipping
[2024-11-24 23:42:29.692] LoadBindingsSet:766	- Loading bindings for /interaction_profiles/valve/index_controller
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/left/input/trigger/pull to /user/hand/left/input/trigger/value for profile /interaction_profiles/valve/index_controller
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/right/input/trigger/pull to /user/hand/right/input/trigger/value for profile /interaction_profiles/valve/index_controller
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/left/input/grip/click to /user/hand/left/input/squeeze/value for profile /interaction_profiles/valve/index_controller
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/right/input/grip/click to /user/hand/right/input/squeeze/value for profile /interaction_profiles/valve/index_controller
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/left/input/trigger/pull to /user/hand/left/input/trigger/value for profile /interaction_profiles/valve/index_controller
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/right/input/trigger/pull to /user/hand/right/input/trigger/value for profile /interaction_profiles/valve/index_controller
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/left/input/trackpad/click to /user/hand/left/input/trackpad/touch for profile /interaction_profiles/valve/index_controller
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/right/input/trackpad/click to /user/hand/right/input/trackpad/touch for profile /interaction_profiles/valve/index_controller
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/left/input/grip/force to /user/hand/left/input/squeeze/value for profile /interaction_profiles/valve/index_controller
[2024-11-24 23:42:29.692] TranslateAction:34	- Translated path /user/hand/right/input/grip/force to /user/hand/right/input/squeeze/value for profile /interaction_profiles/valve/index_controller
